Monte Carlo Resampling Results:
       total_pnl  avg_trade  std_trade  win_rate  max_drawdown_pct  sharpe_ratio
count      10.00      10.00      10.00     10.00             10.00         10.00
mean    81427.67    1480.50    4594.78      0.44              9.20          4.75
std     48275.50     877.74     738.37      0.07              4.25          2.32
min      9349.20     169.99    3424.89      0.35              3.89          0.97
5%      16565.72     301.19    3470.61      0.35              4.23          1.66
25%     42609.27     774.71    4060.64      0.38              5.75          2.95
50%     81437.06    1480.67    4775.80      0.45              8.47          4.80
75%    119237.70    2167.96    5226.26      0.50             11.83          6.48
95%    143058.06    2601.06    5358.63      0.53             15.64          7.77
max    150263.67    2732.07    5402.06      0.53             16.18          7.82
