period,start,end,Return [%],Sharpe,MaxDrawdown [%],# Trades,WinRate [%],Best Params
1,2022-06-29,2023-08-30,0.16149816960000316,0.389251682628609,-0.43610519120254043,0,,"{'fast_period': 15, 'slow_period': 50}"
2,2021-04-30,2022-06-30,0.0,,-0.0,0,,"{'fast_period': 10, 'slow_period': 30}"
3,2020-03-03,2021-05-03,0.0,,-0.0,0,,"{'fast_period': 30, 'slow_period': 80}"
4,2019-01-02,2020-03-04,0.0,,-0.0,0,,"{'fast_period': 10, 'slow_period': 30}"
5,2017-10-31,2019-01-03,2.98172215999999,1.6675314398963832,-1.4542778399999956,0,,"{'fast_period': 20, 'slow_period': 30}"
6,2013-10-09,2017-11-01,14.613617466000012,0.9640778224767889,-4.41305964400237,1,100.0,"{'fast_period': 10, 'slow_period': 50}"
7,2012-08-08,2013-10-10,2.1401315286000027,0.7289760967331024,-2.381846344113059,0,,"{'fast_period': 20, 'slow_period': 40}"
8,2011-06-10,2012-08-09,-2.5643235480000004,-0.8528402749963886,-4.814308132883505,1,0.0,"{'fast_period': 20, 'slow_period': 40}"
9,2010-04-14,2011-06-13,4.087152419400023,0.9956385151795948,-5.514365759278905,1,0.0,"{'fast_period': 15, 'slow_period': 40}"
10,2009-02-13,2010-04-15,-4.347659144399993,-2.739444998763728,-4.347659144399996,1,0.0,"{'fast_period': 10, 'slow_period': 30}"
